ID,Model Probability,Model Predicted Label,Actual Label
ACP1001,0.485744899,0,0
ACP1002_2,0.499569941,0,0
ACP1003,0.455470346,0,0
ACP1004_2,0.467146273,0,0
ACP1006,0.411164489,0,0
ACP1007,0.462652206,0,0
ACP1008_2,0.464186098,0,0
ACP1009_2,0.471322413,0,0
ACP1010_2,0.476215253,0,0
ACP1011_2,0.453182369,0,0
ACP1012,0.44224222,0,1
ACP1015,0.363110527,0,0
ACP1017,0.436253506,0,0
ACP1019_2,0.490500335,0,1
ACP1020,0.406480813,0,1
ACP1022,0.404387325,0,0
ACP1023,0.419428511,0,0
ACP1024_2,0.503984462,1,0
ACP1025,0.394524418,0,0
ACP1026,0.393389874,0,0
ACP1027,0.411373993,0,0
ACP1028,0.387466437,0,0
ACP1029,0.401505908,0,1
ACP1030_2,0.572163108,1,0
ACP1031,0.453831838,0,0
ACP1032,0.444594188,0,0
ACP1034,0.393187824,0,1
ACP1035,0.437916294,0,0
ACP1036,0.445838936,0,0
ACP1037,0.48759077,0,0
ACP1040,0.432184049,0,0
ACP1041,0.383104213,0,0
ACP1042,0.403466796,0,0
ACP1043,0.396011163,0,0
ACP1045_2,0.48968738,0,0
ACP1046,0.43418346,0,0
ACP1047,0.408824034,0,0
ACP1048,0.40553516,0,0
ACP1049,0.474801447,0,0
ACP1051,0.426352609,0,0
ACP1052,0.470532391,0,0
ACP1053,0.45166899,0,0
ACP1054,0.399544279,0,0
ACP1055,0.391610488,0,0
ACP1056,0.420343431,0,0
ACP1057,0.45758717,0,0
ACP1058,0.453823995,0,0
ACP1059,0.443016843,0,0
ACP1062,0.428157428,0,0
ACP1063,0.412161073,0,0
ACP1064,0.442463201,0,0
ACP1065,0.461564133,0,1
ACP1066,0.447129059,0,0
ACP1068,0.469504085,0,0
ACP1069,0.457828437,0,0
ACP1070,0.468732416,0,0
ACP1072,0.414107558,0,0
ACP1073,0.478598552,0,0
ACP1074,0.422835546,0,0
ACP1075,0.516685465,1,0
ACP1076,0.354075745,0,1
ACP1078,0.39570405,0,0
ACP1079,0.39663591,0,0
ACP1080,0.412215808,0,0
ACP1081,0.440162103,0,0
ACP1082,0.433649482,0,0
ACP1083,0.518700655,1,1
ACP1084,0.56390375,1,1
ACP1085,0.516999649,1,0
ACP1086,0.543309683,1,0
ACP1088,0.423626754,0,1
ACP1089,0.504856296,1,0
ACP1091,0.532763057,1,1
ACP1092,0.47009517,0,0
ACP1095,0.452335289,0,0
ACP1096,0.489262527,0,0
ACP1097,0.517584784,1,0
ACP1098,0.482430335,0,1
ACP1101,0.51784318,1,0
ACP1102,0.553459498,1,1
ACP1103,0.448108363,0,0
ACP1104,0.421593085,0,0
ACP1106,0.475550549,0,0
ACP1107,0.45069623,0,1
ACP1108,0.509716242,1,0
ACP1109,0.536871031,1,0
ACP1111,0.471977682,0,0
ACP1112,0.507756809,1,0
ACP1113,0.583729746,1,0
ACP1115,0.637209827,1,0
ACP1117,0.469061657,0,1
ACP1122,0.431344629,0,1
ACP1123,0.488197062,0,0
ACP1124,0.527336033,1,0
ACP1125,0.482161692,0,0
ACP1126,0.544211126,1,0
ACP1127,0.523392371,1,0
ACP1129,0.444189405,0,0
ACP1131,0.491068992,0,0
ACP1132,0.547804441,1,0
ACP1134,0.482785162,0,0
ACP1135,0.451002781,0,0
ACP1138,0.589007399,1,0
ACP1139,0.465245325,0,0
ACP1140,0.468109599,0,0
ACP1141,0.452752583,0,0
ACP1142,0.480420056,0,0
ACP1144,0.469148801,0,0
ACP1147,0.525680233,1,1
ACP1148,0.407711649,0,1
ACP1149,0.497347006,0,0
ACP1150,0.53996545,1,0
ACP1152,0.462831608,0,1
ACP1154,0.468472968,0,0
ACP1155,0.526389486,1,0
ACP1156,0.450613948,0,0
ACP1158,0.568841321,1,0
ACP1159,0.444456043,0,0
ACP1160,0.506687395,1,1
ACP1161,0.466749476,0,1
ACP1162,0.386211442,0,0
ACP1163,0.535826144,1,0
ACP1164,0.439046234,0,1
ACP1165,0.463241166,0,0
ACP1166,0.469953967,0,0
ACP1167,0.486706306,0,1
ACP1168,0.471023536,0,0
ACP1169,0.52110061,1,0
ACP1170,0.462858437,0,0
ACP1172,0.545328532,1,0
ACP1173,0.474210594,0,0
ACP1174,0.4710417,0,1
ACP1175,0.48541021,0,1
ACP1176,0.491070336,0,1
ACP1177,0.466395312,0,0
ACP1178,0.440652164,0,0
ACP1179,0.487989724,0,1
ACP1180,0.459494383,0,0
ACP1181,0.527075626,1,0
ACP1183,0.515215076,1,0
ACP1184,0.520496748,1,1
ACP1185,0.520524019,1,0
ACP1188,0.412512754,0,0
ACP1190,0.433487679,0,0
ACP1191,0.451262839,0,0
ACP1192,0.454927488,0,0
ACP1193,0.5736666,1,1
ACP1194,0.541482006,1,1
ACP1195,0.490704648,0,0
ACP1197,0.535363292,1,1
ACP1198,0.479799401,0,0
ACP1199,0.483277635,0,0
ACP1200,0.476398662,0,0
ACP1202,0.481134974,0,0
ACP1203,0.496640331,0,0
ACP1204,0.571204409,1,0
ACP1206,0.476326496,0,0
ACP1207,0.541303553,1,1
ACP1208,0.529249227,1,0
ACP1209,0.460771561,0,0
ACP1212,0.59136614,1,0
ACP1213,0.528447891,1,0
ACP1215,0.511410573,1,0
ACP1216,0.515309544,1,0
ACP1217,0.542087354,1,1
ACP1218,0.520548575,1,0
ACP1220,0.512079774,1,0
ACP1221,0.532230895,1,0
ACP1222,0.514854451,1,0
ACP1223,0.463625282,0,1
ACP1224,0.533706142,1,0
ACP1225,0.533627067,1,0
ACP1226,0.459940878,0,0
ACP1227,0.520201588,1,0
ACP1229,0.545609744,1,0
ACP1230,0.539932861,1,0
ACP1232,0.539871341,1,0
ACP1233,0.521665896,1,0
ACP1234,0.518790732,1,0
ACP1235,0.462806911,0,1
ACP1236,0.521198865,1,1
ACP1237,0.536160211,1,1
ACP1238,0.492537299,0,0
ACP1240,0.531277094,1,0
ACP1241,0.512732942,1,0
ACP1242,0.58789291,1,0
ACP1243,0.595325972,1,0
ACP1244,0.524752149,1,0
ACP1245,0.563117616,1,0
ACP1246,0.489543304,0,0
ACP1247,0.406599857,0,0
ACP1248,0.504614654,1,0
ACP1249,0.515853857,1,0
ACP1250,0.490175586,0,0
ACP1251,0.568760875,1,0
ACP1252,0.620705042,1,0
ACP1253,0.472830506,0,1
ACP1254,0.409082706,0,0
ACP1255,0.539484035,1,1
ACP1258,0.455190956,0,1
ACP1260,0.561013376,1,0
ACP1262,0.476288372,0,0
ACP1263,0.442125985,0,1
ACP1264,0.458125016,0,0
ACP1265,0.565497295,1,1
ACP1266,0.523375443,1,0
ACP1267,0.48998707,0,0
ACP1268,0.485788746,0,1
ACP1269,0.508146123,1,1
ACP1270,0.485663893,0,0
ACP1271,0.521098521,1,1
ACP1272,0.500549664,1,1
ACP1274,0.490118084,0,0
ACP1275,0.482443801,0,0
ACP1276,0.478990518,0,0
ACP1277,0.504004316,1,0
ACP1278,0.529836046,1,1
ACP1280,0.482876307,0,0
ACP1281,0.550538761,1,0
ACP1282,0.420829213,0,0
ACP1284,0.437892005,0,0
ACP1285,0.454010495,0,0
ACP1286,0.539380604,1,0
ACP1287,0.470263198,0,0
ACP1288,0.530525799,1,0
ACP1289,0.56456416,1,0
ACP1290,0.55197925,1,0
ACP1291,0.517536861,1,0
ACP1292,0.471806405,0,0
ACP1293,0.500935925,1,0
ACP1294,0.539295816,1,1
ACP1295,0.489335953,0,1
ACP1296,0.577847566,1,0
ACP1297,0.56032701,1,0
ACP1298,0.53962012,1,1
ACP1299,0.434517768,0,1
ACP1301,0.483790376,0,1
ACP1302,0.572616115,1,0
ACP1303,0.616733449,1,1
ACP1305,0.498974105,0,1
ACP1306,0.557976437,1,0
ACP1307,0.511304731,1,1
ACP1308,0.479697146,0,0
ACP1310,0.503394089,1,1
ACP1311,0.459662524,0,0
ACP1312,0.54384267,1,0
ACP1313,0.574901322,1,0
ACP1314,0.548084433,1,0
ACP1316,0.526254429,1,0
ACP1319,0.515341348,1,0
ACP1321,0.594558047,1,0
ACP1322,0.47402395,0,0
ACP1323,0.523143416,1,1
ACP1324,0.464218474,0,0
ACP1325,0.506629005,1,0
ACP1327,0.473540523,0,0
ACP1328,0.54922082,1,0
ACP1329,0.48410702,0,0
ACP1330,0.594538833,1,0
ACP1332,0.469977418,0,0
ACP1338,0.600438562,1,0
ACP1339,0.471028962,0,0
ACP1340,0.561038744,1,0
ACP1342,0.529543847,1,0
ACP1343,0.487196893,0,0
ACP1344,0.545973534,1,0
ACP1345,0.599996985,1,1
ACP1347,0.447319301,0,0
ACP1348,0.517575106,1,1
ACP1349,0.483078764,0,0
ACP1350,0.483152417,0,1
ACP1351,0.459733313,0,0
ACP1352,0.518981226,1,0
ACP1353,0.478054296,0,0
ACP1354,0.477224076,0,0
ACP1355,0.491981967,0,0
ACP1358,0.495543572,0,0
ACP1359,0.434073284,0,0
ACP1364,0.509492867,1,0
ACP1365,0.487459523,0,1
ACP1366,0.500466843,1,1
ACP1367,0.453483728,0,0
ACP1368,0.488396745,0,0
ACP1369,0.566541638,1,0
ACP1370,0.469275453,0,1
ACP1372,0.484710564,0,0
ACP1374,0.480295336,0,0
ACP1376,0.542421281,1,0
ACP1377,0.586455962,1,0
ACP1378,0.629444827,1,0
ACP1380,0.529726501,1,0
ACP1381,0.500154238,1,1
ACP1382,0.468679875,0,0
ACP1383,0.541706768,1,0
ACP1384,0.517451104,1,1
ACP1385,0.475146737,0,0
ACP1386,0.434277392,0,0
ACP1387,0.50558836,1,0
ACP1388,0.493706664,0,0
ACP1390,0.524405256,1,0
ACP1391,0.514804612,1,1
ACP1392,0.450866779,0,0
ACP1393,0.481609756,0,0
ACP1394,0.581381248,1,1
ACP1395,0.536142782,1,0
ACP1396,0.492684546,0,0
ACP1397,0.578812479,1,0
ACP1398,0.489689603,0,1
ACP1399,0.479788749,0,0
ACP1400,0.554949514,1,0
ACP1401,0.456859319,0,0
ACP1402,0.493900672,0,1
ACP1403,0.438152895,0,1
ACP1404,0.542569954,1,0
ACP1405,0.647287287,1,0
ACP1406,0.471996472,0,0
ACP1407,0.577813548,1,0
ACP1408,0.411519726,0,0
ACP1409,0.514597528,1,0
ACP1410,0.52323358,1,1
ACP1411,0.506668965,1,0
ACP1412,0.589910942,1,0
ACP1414,0.552275238,1,0
ACP1416,0.526021485,1,0
ACP1417,0.494049541,0,0
ACP1419,0.49705377,0,1
ACP1421,0.530225,1,0
ACP1422,0.525782584,1,1
ACP1423,0.484737955,0,0
ACP1424,0.473838514,0,0
ACP1425,0.51307272,1,0
ACP1427,0.558991538,1,1
ACP1428,0.60984537,1,0
ACP1429,0.473206419,0,0
ACP1430,0.528373071,1,1
ACP1431,0.606946334,1,0
ACP1432,0.566429641,1,0
ACP1433,0.532913286,1,0
ACP1435,0.507473199,1,0
ACP1436,0.57842444,1,0
ACP1437,0.579290724,1,0
ACP1438,0.496735205,0,0
ACP1439,0.528981213,1,0
ACP1442,0.465248156,0,1
ACP1443,0.486272082,0,0
ACP1444,0.51078249,1,1
ACP1448,0.633125679,1,0